list,Direction,Stop Name,Latitude,Longitude,Name-en-normalized,UID,map link
brts stops,UP,509,18.574521,73.899507,509,A509Y1,http://maps.google.com/?q=loc:18.5745209999995,73.8995069999997
brts stops,Down,509,18.57458,73.899595,509,A509Y2,http://maps.google.com/?q=loc:18.5745800000002,73.8995949999998
brts stops,UP,12 Wa Mile,18.608913,74.01542,12 Wa Mile,12WML1,http://maps.google.com/?q=loc:18.608913,74.01542
brts stops,Down,12 Wa Mile,18.608913,74.01542,12 Wa Mile,12WML2,http://maps.google.com/?q=loc:18.608913,74.01542
brts stops,UP,15 August Chowk,18.522448,73.866454,15 August Chowk,15AUG1,http://maps.google.com/?q=loc:18.5224480000003,73.8664539999995
brts stops,Down,15 August Chowk,18.52284,73.867736,15 August Chowk,15AUG2,http://maps.google.com/?q=loc:18.5228400000003,73.8677359999998
brts stops,UP,15 Number,18.499018,73.951441,15 Number,15NUM1,http://maps.google.com/?q=loc:18.499018,73.951441
brts stops,Down,15 Number,18.499017,73.951774,15 Number,15NUM2,http://maps.google.com/?q=loc:18.499017,73.951774
brts stops,UP,16 Number,18.607644,73.771889,16 Number,16NUM1,http://maps.google.com/?q=loc:18.607644,73.771889
brts stops,Down,16 Number,18.607839,73.772062,16 Number,16NUM2,http://maps.google.com/?q=loc:18.6078389999998,73.7720620000004
brts stops,UP,5 Wa Mile,18.562325,73.923267,5 Wa Mile,5WMIL1,http://maps.google.com/?q=loc:18.5623249999999,73.9232669999999
brts stops,Down,5 Wa Mile,18.562317,73.923617,5 Wa Mile,5WMIL2,http://maps.google.com/?q=loc:18.5623170000001,73.9236170000002
brts stops,UP,Aaple Ghar,18.567656,73.947832,Aaple Ghar,APLGH1,http://maps.google.com/?q=loc:18.5676559999998,73.9478320000003
brts stops,Down,Aaple Ghar,18.567483,73.948111,Aaple Ghar,APLGH2,http://maps.google.com/?q=loc:18.567483,73.9481110000001
brts stops,UP,AD Camp Chowk,18.512562,73.868686,AD Camp Chowk,ADCMP1,http://maps.google.com/?q=loc:18.512562,73.868686
brts stops,Down,AD Camp Chowk,18.512571,73.868829,AD Camp Chowk,ADCMP2,http://maps.google.com/?q=loc:18.512571,73.868829
brts stops,UP,Agnishamak Kendra Landewadi,18.620321,73.846448,Agnishamak Kendra Landewadi,AKLND1,http://maps.google.com/?q=loc:18.620321,73.846448
brts stops,UP,Agrawal Colony,18.500043,73.943986,Agrawal Colony,AGRCL1,http://maps.google.com/?q=loc:18.500043,73.943986
