Sr.,Direction,Stop Name,Name-en-normalized,UID
1,UP,509,509,A509Y1
2,DOWN,509,509,A509Y1
3,UP,512,512,A512Y1
4,DOWN,512,512,A512Y1
5,UP,10 Wa Mile Wadki,10 Wa Mile Wadki,10MAL1
6,DOWN,10 Wa Mile Wadki,10 Wa Mile Wadki,10MAL1
7,UP,15 August Chowk,15 August Chowk,15AUG1
8,DOWN,15 August Chowk,15 August Chowk,15AUG1
9,UP,15 Number,15 Number,15NUM1
10,DOWN,15 Number,15 Number,15NUM1
11,UP,16 Number,16 Number,16NUM1
12,DOWN,16 Number,16 Number,16NUM1
13,UP,40 Aundh Road,40 Aundh Road,40AUD1
14,DOWN,40 Aundh Road,40 Aundh Road,40AUD1
15,UP,5 Wa Mile,5 Wa Mile,5WMIL1
16,DOWN,5 Wa Mile,5 Wa Mile,5WMIL1
17,UP,A Ward Office,A Ward Office,AWAOF1
18,DOWN,A Ward Office,A Ward Office,AWAOF1
19,UP,Aai Mata Mandir,Aai Mata Mandir,
20,DOWN,Aai mata Mandir,Aai Mata Mandir,
21,UP,Aaple Ghar,Aaple Ghar,APLGH1
22,DOWN,Aaple Ghar,Aaple Ghar,APLGH1
23,UP,ABC Farm,ABC Farm,
24,DOWN,ABC Farm,ABC Farm,
25,UP,Abhi Chemical,Abhi Chemical,
26,DOWN,Abhi Chemical,Abhi Chemical,
27,UP,Abhiman Shree Society,Abhiman Shree Society,
28,DOWN,Abhiman Shree Society,Abhiman Shree Society,
29,UP,Abhinav College,Abhinav College,
30,DOWN,Abhinav College,Abhinav College,
31,UP,Abhinav Institute,Abhinav Institute,
32,UP,Abhinav Yantriki Kendra,Abhinav Yantriki Kendra,
33,UP,AD Camp Chowk,AD Camp Chowk,ADCMP1
34,DOWN,AD Camp Chowk,AD Camp Chowk,ADCMP1
35,UP,Adarshnagar,Adarshnagar,
36,DOWN,Adarshnagar,Adarshnagar,
37,UP,Aditya Garden City,Aditya Garden City,
38,DOWN,Aditya Garden City,Aditya Garden City,
39,UP,Aditya Hotel,Aditya Hotel,
40,DOWN,Aditya Hotel,Aditya Hotel,
41,UP,Agalambe Phata,Agalambe Phata,
42,DOWN,Agalambe Phata,Agalambe Phata,
43,UP,Agalambegaon,Agalambegaon,
44,DOWN,Agalambegaon,Agalambegaon,
45,UP,Agam Mandir,Agam Mandir,
46,DOWN,Agam Mandir,Agam Mandir,
47,UP,Agam Mandir Paytha,Agam Mandir Paytha,
48,DOWN,Agam Mandir Paytha,Agam Mandir Paytha,
49,UP,Agnishamak Kendra Landewadi,Agnishamak Kendra Landewadi,AKLND1
50,DOWN,Agnishamak Kendra Landewadi,Agnishamak Kendra Landewadi,AKLND1
51,UP,Agnishamak Kendra NDA,Agnishamak Kendra NDA,
52,DOWN,Agnishamak Kendra NDA,Agnishamak Kendra NDA,
53,UP,Agrawal Colony,Agrawal Colony,AGRCL1
54,DOWN,Agrawal Colony,Agrawal Colony,AGRCL1
55,UP,Ahilyadevi School,Ahilyadevi School,
56,DOWN,Ahilyadevi School,Ahilyadevi School,
57,UP,Ahire Gate,Ahire Gate,
58,DOWN,Ahire Gate,Ahire Gate,
59,UP,Ahiregaon,Ahiregaon,
60,DOWN,Ahiregaon,Ahiregaon,
61,UP,Ahiregaon Phata,Ahiregaon Phata,
