,Sr.,Direction,Stop Name,Name-en-normalized,UID,UID_new
0,1,UP,509,509,A509Y1,A509Y1
1,2,DOWN,509,509,A509Y1,A509Y1
2,3,UP,512,512,A512Y1,A512Y1
3,4,DOWN,512,512,A512Y1,A512Y1
4,5,UP,10 Wa Mile Wadki,10 Wa Mile Wadki,10MAL1,10MAL1
5,6,DOWN,10 Wa Mile Wadki,10 Wa Mile Wadki,10MAL1,10MAL1
6,7,UP,15 August Chowk,15 August Chowk,15AUG1,15AUG1
7,8,DOWN,15 August Chowk,15 August Chowk,15AUG1,15AUG1
8,9,UP,15 Number,15 Number,15NUM1,15NUM1
9,10,DOWN,15 Number,15 Number,15NUM1,15NUM1
10,11,UP,16 Number,16 Number,16NUM1,16NUM1
11,12,DOWN,16 Number,16 Number,16NUM1,16NUM1
12,13,UP,40 Aundh Road,40 Aundh Road,40AUD1,40AUD1
13,14,DOWN,40 Aundh Road,40 Aundh Road,40AUD1,40AUD1
14,15,UP,5 Wa Mile,5 Wa Mile,5WMIL1,5WMIL1
15,16,DOWN,5 Wa Mile,5 Wa Mile,5WMIL1,5WMIL1
16,17,UP,A Ward Office,A Ward Office,AWAOF1,AWAOF1
17,18,DOWN,A Ward Office,A Ward Office,AWAOF1,AWAOF1
18,19,UP,Aai Mata Mandir,Aai Mata Mandir,,AAMAMA1
19,20,DOWN,Aai mata Mandir,Aai Mata Mandir,,
20,21,UP,Aaple Ghar,Aaple Ghar,APLGH1,APLGH1
21,22,DOWN,Aaple Ghar,Aaple Ghar,APLGH1,APLGH1
22,23,UP,ABC Farm,ABC Farm,,ABFA1
23,24,DOWN,ABC Farm,ABC Farm,,
24,25,UP,Abhi Chemical,Abhi Chemical,,ABCH1
25,26,DOWN,Abhi Chemical,Abhi Chemical,,
26,27,UP,Abhiman Shree Society,Abhiman Shree Society,,ABSHSO1
27,28,DOWN,Abhiman Shree Society,Abhiman Shree Society,,
28,29,UP,Abhinav College,Abhinav College,,ABCO1
29,30,DOWN,Abhinav College,Abhinav College,,
30,31,UP,Abhinav Institute,Abhinav Institute,,ABIN1
31,32,UP,Abhinav Yantriki Kendra,Abhinav Yantriki Kendra,,ABYAKE1
32,33,UP,AD Camp Chowk,AD Camp Chowk,ADCMP1,ADCMP1
33,34,DOWN,AD Camp Chowk,AD Camp Chowk,ADCMP1,ADCMP1
34,35,UP,Adarshnagar,Adarshnagar,,ADA1
35,36,DOWN,Adarshnagar,Adarshnagar,,
36,37,UP,Aditya Garden City,Aditya Garden City,,ADGACI1
37,38,DOWN,Aditya Garden City,Aditya Garden City,,
38,39,UP,Aditya Hotel,Aditya Hotel,,ADHO1
39,40,DOWN,Aditya Hotel,Aditya Hotel,,
40,41,UP,Agalambe Phata,Agalambe Phata,,AGPH1
41,42,DOWN,Agalambe Phata,Agalambe Phata,,
42,43,UP,Agalambegaon,Agalambegaon,,AGA1
43,44,DOWN,Agalambegaon,Agalambegaon,,
44,45,UP,Agam Mandir,Agam Mandir,,AGMA1
45,46,DOWN,Agam Mandir,Agam Mandir,,
46,47,UP,Agam Mandir Paytha,Agam Mandir Paytha,,AGMAPA1
47,48,DOWN,Agam Mandir Paytha,Agam Mandir Paytha,,
48,49,UP,Agnishamak Kendra Landewadi,Agnishamak Kendra Landewadi,AKLND1,AKLND1
49,50,DOWN,Agnishamak Kendra Landewadi,Agnishamak Kendra Landewadi,AKLND1,AKLND1
50,51,UP,Agnishamak Kendra NDA,Agnishamak Kendra NDA,,AGKEND1
51,52,DOWN,Agnishamak Kendra NDA,Agnishamak Kendra NDA,,
52,53,UP,Agrawal Colony,Agrawal Colony,AGRCL1,AGRCL1
53,54,DOWN,Agrawal Colony,Agrawal Colony,AGRCL1,AGRCL1
54,55,UP,Ahilyadevi School,Ahilyadevi School,,AHSC1
55,56,DOWN,Ahilyadevi School,Ahilyadevi School,,
56,57,UP,Ahire Gate,Ahire Gate,,AHGA1
57,58,DOWN,Ahire Gate,Ahire Gate,,
58,59,UP,Ahiregaon,Ahiregaon,,AHI1
59,60,DOWN,Ahiregaon,Ahiregaon,,
60,61,UP,Ahiregaon Phata,Ahiregaon Phata,,AHPH1
61,62,DOWN,Ahiregaon Phata,Ahiregaon Phata,,
62,63,UP,Ahireshwarwadi,Ahireshwarwadi,AHRWD1,AHRWD1
63,64,DOWN,Ahireshwarwadi,Ahireshwarwadi,AHRWD1,AHRWD1
64,65,UP,AIT College,AIT College,AITCL1,AITCL1
65,66,DOWN,AIT College,AIT College,AITCL1,AITCL1
66,67,UP,Ajanthanagar,Ajanthanagar,AJTNG1,AJTNG1
67,68,DOWN,Ajanthanagar,Ajanthanagar,AJTNG1,AJTNG1
68,69,UP,Ajay Niwas,Ajay Niwas,,AJNI1
69,70,DOWN,Ajay Niwas,Ajay Niwas,,
70,71,UP,Ajinkyatara,Ajinkyatara,,AJI1
71,72,DOWN,Ajinkyatara,Ajinkyatara,,
72,73,UP,Akashwani,Akashwani,AKSHW1,AKSHW1
73,74,DOWN,Akashwani,Akashwani,AKSHW1,AKSHW1
74,75,UP,Akole Bus Stop,Akole Bus Stop,,AKBUST1
75,76,DOWN,Akole Bus Stop,Akole Bus Stop,,
76,77,UP,Akshay Sanshree,Akshay Sanshree,,AKSA1
77,78,DOWN,Akshay Sanshree,Akshay Sanshree,,
78,79,UP,Akurdi Chowk,Akurdi Chowk,AKRDC1,AKRDC1
79,80,DOWN,Akurdi Chowk,Akurdi Chowk,AKRDC1,AKRDC1
80,81,UP,Akurdi Khandoba Maal,Akurdi Khandoba Maal,AKRKM1,AKRKM1
81,82,DOWN,Akurdi Khandoba Maal,Akurdi Khandoba Maal,AKRKM1,AKRKM1
82,83,UP,Akurdi Police Chowky,Akurdi Police Chowky,,AKPOCH1
83,84,DOWN,Akurdi Police Chowky,Akurdi Police Chowky,,
84,85,UP,Akurdi Railway Station,Akurdi Railway Station,,AKRAST1
85,86,DOWN,Akurdi Railway Station,Akurdi Railway Station,,
86,87,UP,Alandi,Alandi,,ALA1
87,88,DOWN,Alandi,Alandi,,
88,89,UP,Alandi Phata,Alandi Phata,,ALPH1
89,90,DOWN,Alandi Phata,Alandi Phata,,
90,91,UP,Alankar Police Chowky,Alankar Police Chowky,,ALPOCH1
91,92,DOWN,Alankar Police Chowky,Alankar Police Chowky,,
92,93,UP,Alankar Talkies,Alankar Talkies,ALNKT1,ALNKT1
93,94,DOWN,Alankar Talkies,Alankar Talkies,ALNKT1,ALNKT1
94,95,UP,Alard College,Alard College,,ALCO1
95,96,DOWN,Alard College,Alard College,,
