,list,Direction,Stop Name,Latitude,Longitude,Name-en-normalized,UID,map link,Unnamed: 8,UID_new
0,brts stops,UP,509,18.574521,73.899507,509,A509Y1,http://maps.google.com/?q=loc:18.5745209999995,73.899507,A509Y1
1,brts stops,Down,509,18.574579999999997,73.89959499999999,509,A509Y2,http://maps.google.com/?q=loc:18.5745800000002,73.89959499999999,A509Y2
2,brts stops,UP,12 Wa Mile,18.608913,74.01541999999999,12 Wa Mile,12WML1,http://maps.google.com/?q=loc:18.608913,74.01541999999999,12WML1
3,brts stops,Down,12 Wa Mile,18.608913,74.01541999999999,12 Wa Mile,12WML2,http://maps.google.com/?q=loc:18.608913,74.01541999999999,12WML2
4,brts stops,UP,15 August Chowk,18.522448,73.866454,15 August Chowk,15AUG1,http://maps.google.com/?q=loc:18.5224480000003,73.866454,15AUG1
5,brts stops,Down,15 August Chowk,18.52284,73.867736,15 August Chowk,15AUG2,http://maps.google.com/?q=loc:18.5228400000003,73.867736,15AUG2
6,brts stops,UP,15 Number,18.499018,73.951441,15 Number,15NUM1,http://maps.google.com/?q=loc:18.499018,73.951441,15NUM1
7,brts stops,Down,15 Number,18.499017000000002,73.951774,15 Number,15NUM2,http://maps.google.com/?q=loc:18.499017,73.951774,15NUM2
8,brts stops,UP,16 Number,18.607644,73.771889,16 Number,16NUM1,http://maps.google.com/?q=loc:18.607644,73.771889,16NUM1
9,brts stops,Down,16 Number,18.607839000000002,73.772062,16 Number,16NUM2,http://maps.google.com/?q=loc:18.6078389999998,73.772062,16NUM2
10,brts stops,UP,5 Wa Mile,18.562325,73.92326700000001,5 Wa Mile,5WMIL1,http://maps.google.com/?q=loc:18.5623249999999,73.92326700000001,5WMIL1
11,brts stops,Down,5 Wa Mile,18.562317,73.92361700000001,5 Wa Mile,5WMIL2,http://maps.google.com/?q=loc:18.5623170000001,73.92361700000001,5WMIL2
12,brts stops,UP,Aaple Ghar,18.567656,73.94783199999999,Aaple Ghar,APLGH1,http://maps.google.com/?q=loc:18.5676559999998,73.94783199999999,APLGH1
13,brts stops,Down,Aaple Ghar,18.567483,73.948111,Aaple Ghar,APLGH2,http://maps.google.com/?q=loc:18.567483,73.948111,APLGH2
14,brts stops,UP,AD Camp Chowk,18.512562,73.868686,AD Camp Chowk,ADCMP1,http://maps.google.com/?q=loc:18.512562,73.868686,ADCMP1
15,brts stops,Down,AD Camp Chowk,18.512570999999998,73.868829,AD Camp Chowk,ADCMP2,http://maps.google.com/?q=loc:18.512571,73.868829,ADCMP2
16,brts stops,UP,Agnishamak Kendra Landewadi,18.620321,73.846448,Agnishamak Kendra Landewadi,AKLND1,http://maps.google.com/?q=loc:18.620321,73.846448,AKLND1
17,brts stops,UP,Agrawal Colony,18.500042999999998,73.943986,Agrawal Colony,AGRCL1,http://maps.google.com/?q=loc:18.500043,73.943986,AGRCL1
18,brts stops,Down,Agrawal Colony,18.50004,73.94444,Agrawal Colony,AGRCL2,http://maps.google.com/?q=loc:18.50004,73.94444,AGRCL2
19,brts stops,UP,Ahilya Society,18.552314000000003,73.875744,Ahilya Society,AHLSC1,http://maps.google.com/?q=loc:18.552314,73.875744,AHLSC1
20,brts stops,Down,Ahilya Society,18.552769,73.87850300000001,Ahilya Society,AHLSC2,http://maps.google.com/?q=loc:18.552769,73.87850300000001,AHLSC2
21,brts stops,UP,Ahireshwarwadi,18.496569,73.86153900000001,Ahireshwarwadi,AHRWD1,http://maps.google.com/?q=loc:18.496569,73.86153900000001,AHRWD1
22,brts stops,Down,Ahireshwarwadi,18.496547,73.861411,Ahireshwarwadi,AHRWD2,http://maps.google.com/?q=loc:18.496547,73.861411,AHRWD2
23,brts stops,UP,AIT College,18.606663,73.873347,AIT College,AITCL1,http://maps.google.com/?q=loc:18.6066630000002,73.873347,AITCL1
24,brts stops,Down,AIT College,18.6071,73.87343,AIT College,AITCL2,http://maps.google.com/?q=loc:18.6071000000002,73.87343,AITCL2
25,brts stops,UP,Ajanthanagar,18.662623,73.78968499999999,Ajanthanagar,AJTNG1,http://maps.google.com/?q=loc:18.662623,73.78968499999999,AJTNG1
26,brts stops,Down,Ajanthanagar,18.662519,73.790054,Ajanthanagar,AJTNG2,http://maps.google.com/?q=loc:18.662519,73.790054,AJTNG2
27,brts stops,UP,Akashwani,18.499505,73.947994,Akashwani,AKSHW1,http://maps.google.com/?q=loc:18.499505,73.947994,AKSHW1
28,brts stops,Down,Akashwani,18.499648999999998,73.9481,Akashwani,AKSHW2,http://maps.google.com/?q=loc:18.4996489999998,73.9481,AKSHW2
29,brts stops,UP,Akurdi Chowk,18.649557,73.78219,Akurdi Chowk,AKRDC1,http://maps.google.com/?q=loc:18.649557,73.78219,AKRDC1
30,brts stops,Down,Akurdi Chowk,18.649167000000002,73.78526,Akurdi Chowk,AKRDC2,http://maps.google.com/?q=loc:18.649167,73.78526,AKRDC2
31,brts stops,UP,Akurdi Khandoba Maal,18.651132999999998,73.78622,Akurdi Khandoba Maal,AKRKM1,http://maps.google.com/?q=loc:18.651133,73.78622,AKRKM1
32,brts stops,Down,Akurdi Khandoba Maal,18.650859,73.786159,Akurdi Khandoba Maal,AKRKM2,http://maps.google.com/?q=loc:18.650859,73.786159,AKRKM2
33,brts stops,Down,Alankar Talkies,18.527906,73.87501800000001,Alankar Talkies,ALNKT1,http://maps.google.com/?q=loc:18.527906,73.87501800000001,ALNKT1
34,brts stops,UP,Alegaonkar Shala,18.568147,73.845291,Alegaonkar Shala,,http://maps.google.com/?q=loc:18.5681469999999,73.845291,ALSH1
35,brts stops,Down,Alegaonkar Shala,18.567892999999998,73.845608,Alegaonkar Shala,,http://maps.google.com/?q=loc:18.5678929999996,73.845608,ALESHA1
36,brts stops,UP,Aler Ware Housing,18.54691,73.930233,Aler Ware Housing,,http://maps.google.com/?q=loc:18.5469100000001,73.930233,ALWAHO1
37,brts stops,UP,Alfa Laval Company,18.598353,73.827698,Alfa Laval Company,,http://maps.google.com/?q=loc:18.598353,73.827698,ALLACO1
38,brts stops,Down,Alka Talkies,18.513348999999998,73.8450108,Alka Talkies,,http://maps.google.com/?q=loc:18.513349,73.8450108,ALTA1
39,brts stops,UP,Ambedkar Bhavan,18.524934,73.86844,Ambedkar Bhavan,,http://maps.google.com/?q=loc:18.524934,73.86844,AMBH1
40,brts stops,Down,Ambedkar Bhavan,18.524934,73.86844,Ambedkar Bhavan,,http://maps.google.com/?q=loc:18.524934,73.86844,AMBBHA1
41,brts stops,UP,Ambedkar Society,18.552923,73.873696,Ambedkar Society,,http://maps.google.com/?q=loc:18.5529230000003,73.873696,AMSO1
42,brts stops,Down,Ambedkar Society,18.552942,73.873693,Ambedkar Society,,http://maps.google.com/?q=loc:18.5529419999996,73.873693,AMBSOC1
43,brts stops,Down,Ammunition Factory,18.5694555,73.85667600000001,Ammunition Factory,,http://maps.google.com/?q=loc:18.5694555,73.85667600000001,AMFA1
44,brts stops,UP,Ammunition Factory Gate,18.569696,73.856809,Ammunition Factory Gate,,http://maps.google.com/?q=loc:18.5696960000002,73.856809,AMFAGA1
45,brts stops,UP,Ammunition Stores,18.56788,73.8565,Ammunition Stores,,http://maps.google.com/?q=loc:18.5678799999996,73.8565,AMST1
46,brts stops,Down,Ammunition Stores,18.567598999999998,73.856329,Ammunition Stores,,http://maps.google.com/?q=loc:18.5675990000001,73.856329,AMMSTO1
47,brts stops,UP,Anand Park,18.552667,73.925537,Anand Park,,http://maps.google.com/?q=loc:18.5526670000001,73.925537,ANPA1
48,brts stops,Down,Anand Park,18.552757999999997,73.925473,Anand Park,,http://maps.google.com/?q=loc:18.5527579999996,73.925473,ANAPAR1
49,brts stops,UP,Anandnagar Kothrud,18.50979,73.814767,Anandnagar Kothrud,,http://maps.google.com/?q=loc:18.5097900000001,73.814767,ANKO1
50,brts stops,Down,Anandnagar Kothrud,18.509369,73.812067,Anandnagar Kothrud,,http://maps.google.com/?q=loc:18.5093689999998,73.812067,ANAKOT1
51,brts stops,UP,Anandnagar Sinhagad Road,18.477599899999998,73.8235549,Anandnagar Sinhagad Road,,http://maps.google.com/?q=loc:18.4775999,73.8235549,ANSIRO1
52,brts stops,Down,Anandnagar Sinhagad Road,18.477646,73.823708,Anandnagar Sinhagad Road,,http://maps.google.com/?q=loc:18.477646,73.823708,ANASINROA1
53,brts stops,UP,Andh Shala Kothrud,18.496067,73.803298,Andh Shala Kothrud,,http://maps.google.com/?q=loc:18.4960669999999,73.803298,ANSHKO1
54,brts stops,Down,Andh Shala Kothrud,18.496169000000002,73.803234,Andh Shala Kothrud,,http://maps.google.com/?q=loc:18.4961690000002,73.803234,ANDSHAKOT1
55,brts stops,UP,Annapurna,18.662681,73.78360699999999,Annapurna,,http://maps.google.com/?q=loc:18.662681,73.78360699999999,ANN1
56,brts stops,Down,Annapurna,18.662681,73.78360699999999,Annapurna,,http://maps.google.com/?q=loc:18.662681,73.78360699999999,ANNA1
57,brts stops,UP,Apollo Talkies,18.519584,73.864785,Apollo Talkies,,http://maps.google.com/?q=loc:18.5195839999995,73.864785,APTA1
58,brts stops,Down,Apollo Talkies,18.519453,73.864623,Apollo Talkies,,http://maps.google.com/?q=loc:18.519453,73.864623,APOTAL1
59,brts stops,UP,Appa Balawant Chowk,18.514926000000003,73.853746,Appa Balawant Chowk,,http://maps.google.com/?q=loc:18.514926,73.853746,APBACH1
60,brts stops,Down,Appa Balawant Chowk,18.516316,73.85311109999999,Appa Balawant Chowk,,http://maps.google.com/?q=loc:18.516316,73.85311109999999,APPBALCHO1
61,brts stops,UP,Apple Hospital,18.588332,73.781379,Apple Hospital,,http://maps.google.com/?q=loc:18.5883319999997,73.781379,APHO1
62,brts stops,Down,Apple Hospital,18.588616000000002,73.781315,Apple Hospital,,http://maps.google.com/?q=loc:18.5886160000002,73.781315,APPHOS1
63,brts stops,UP,Apsara Talkies,18.500386,73.869343,Apsara Talkies,,http://maps.google.com/?q=loc:18.500386,73.869343,APSTAL1
64,brts stops,Down,Apsara Talkies,18.500137,73.869516,Apsara Talkies,,http://maps.google.com/?q=loc:18.500137,73.869516,
65,brts stops,UP,Aranyeshwar Corner,18.4864,73.8575,Aranyeshwar Corner,,http://maps.google.com/?q=loc:18.4864,73.8575,ARCO1
66,brts stops,Down,Aranyeshwar Corner,18.4861362,73.8576003,Aranyeshwar Corner,,http://maps.google.com/?q=loc:18.4861362,73.8576003,ARACOR1
67,brts stops,UP,Arsenal Factory Gate,18.57323337,73.858448,Arsenal Factory Gate,,http://maps.google.com/?q=loc:18.5732333699998,73.858448,ARFAGA1
68,brts stops,Down,Arsenal Factory Gate,18.573341,73.858408,Arsenal Factory Gate,,http://maps.google.com/?q=loc:18.5733410000001,73.858408,ARSFACGAT1
69,brts stops,UP,Ashish Garden,18.501967999999998,73.802375,Ashish Garden,,http://maps.google.com/?q=loc:18.501968,73.802375,ASGA1
70,brts stops,Down,Ashish Garden,18.501967999999998,73.802375,Ashish Garden,,http://maps.google.com/?q=loc:18.501968,73.802375,ASHGAR1
71,brts stops,UP,Atlas Company,18.618822,73.85034399999999,Atlas Company,,http://maps.google.com/?q=loc:18.618822,73.85034399999999,ATCO1
72,brts stops,Down,Atlas Company,18.618639,73.849915,Atlas Company,,http://maps.google.com/?q=loc:18.618639,73.849915,ATLCOM1
73,brts stops,UP,Aundh Hospital,18.576739,73.803097,Aundh Hospital,,http://maps.google.com/?q=loc:18.5767390000003,73.803097,AUHO1
74,brts stops,Down,Aundh Hospital,18.576895999999998,73.803226,Aundh Hospital,,http://maps.google.com/?q=loc:18.5768959999996,73.803226,AUNHOS1
