"Subject.Id" "Activity"
1 "LAYING"
1 "SITTING"
1 "STANDING"
1 "WALKING"
1 "WALKING_DOWNSTAIRS"
1 "WALKING_UPSTAIRS"
2 "LAYING"
2 "SITTING"
2 "STANDING"
2 "WALKING"
2 "WALKING_DOWNSTAIRS"
2 "WALKING_UPSTAIRS"
3 "LAYING"
3 "SITTING"
3 "STANDING"
3 "WALKING"
3 "WALKING_DOWNSTAIRS"
3 "WALKING_UPSTAIRS"
4 "LAYING"
4 "SITTING"
4 "STANDING"
4 "WALKING"
4 "WALKING_DOWNSTAIRS"
4 "WALKING_UPSTAIRS"
5 "LAYING"
5 "SITTING"
5 "STANDING"
5 "WALKING"
5 "WALKING_DOWNSTAIRS"
5 "WALKING_UPSTAIRS"
6 "LAYING"
6 "SITTING"
6 "STANDING"
6 "WALKING"
6 "WALKING_DOWNSTAIRS"
6 "WALKING_UPSTAIRS"
7 "LAYING"
7 "SITTING"
7 "STANDING"
7 "WALKING"
7 "WALKING_DOWNSTAIRS"
7 "WALKING_UPSTAIRS"
8 "LAYING"
8 "SITTING"
8 "STANDING"
8 "WALKING"
8 "WALKING_DOWNSTAIRS"
8 "WALKING_UPSTAIRS"
9 "LAYING"
9 "SITTING"
9 "STANDING"
9 "WALKING"
9 "WALKING_DOWNSTAIRS"
9 "WALKING_UPSTAIRS"
10 "LAYING"
10 "SITTING"
10 "STANDING"
10 "WALKING"
10 "WALKING_DOWNSTAIRS"
10 "WALKING_UPSTAIRS"
11 "LAYING"
11 "SITTING"
11 "STANDING"
11 "WALKING"
11 "WALKING_DOWNSTAIRS"
11 "WALKING_UPSTAIRS"
12 "LAYING"
12 "SITTING"
12 "STANDING"
12 "WALKING"
12 "WALKING_DOWNSTAIRS"
12 "WALKING_UPSTAIRS"
13 "LAYING"
13 "SITTING"
13 "STANDING"
13 "WALKING"
13 "WALKING_DOWNSTAIRS"
13 "WALKING_UPSTAIRS"
14 "LAYING"
14 "SITTING"
14 "STANDING"
14 "WALKING"
14 "WALKING_DOWNSTAIRS"
14 "WALKING_UPSTAIRS"
15 "LAYING"
15 "SITTING"
15 "STANDING"
15 "WALKING"
15 "WALKING_DOWNSTAIRS"
15 "WALKING_UPSTAIRS"
16 "LAYING"
16 "SITTING"
16 "STANDING"
16 "WALKING"
16 "WALKING_DOWNSTAIRS"
16 "WALKING_UPSTAIRS"
17 "LAYING"
17 "SITTING"
17 "STANDING"
17 "WALKING"
17 "WALKING_DOWNSTAIRS"
17 "WALKING_UPSTAIRS"
18 "LAYING"
18 "SITTING"
18 "STANDING"
18 "WALKING"
18 "WALKING_DOWNSTAIRS"
18 "WALKING_UPSTAIRS"
19 "LAYING"
19 "SITTING"
19 "STANDING"
19 "WALKING"
19 "WALKING_DOWNSTAIRS"
19 "WALKING_UPSTAIRS"
20 "LAYING"
20 "SITTING"
20 "STANDING"
20 "WALKING"
20 "WALKING_DOWNSTAIRS"
20 "WALKING_UPSTAIRS"
21 "LAYING"
21 "SITTING"
21 "STANDING"
21 "WALKING"
21 "WALKING_DOWNSTAIRS"
21 "WALKING_UPSTAIRS"
22 "LAYING"
22 "SITTING"
22 "STANDING"
22 "WALKING"
22 "WALKING_DOWNSTAIRS"
22 "WALKING_UPSTAIRS"
23 "LAYING"
23 "SITTING"
23 "STANDING"
23 "WALKING"
23 "WALKING_DOWNSTAIRS"
23 "WALKING_UPSTAIRS"
24 "LAYING"
24 "SITTING"
24 "STANDING"
24 "WALKING"
24 "WALKING_DOWNSTAIRS"
24 "WALKING_UPSTAIRS"
25 "LAYING"
25 "SITTING"
25 "STANDING"
25 "WALKING"
25 "WALKING_DOWNSTAIRS"
25 "WALKING_UPSTAIRS"
26 "LAYING"
26 "SITTING"
26 "STANDING"
26 "WALKING"
26 "WALKING_DOWNSTAIRS"
26 "WALKING_UPSTAIRS"
27 "LAYING"
27 "SITTING"
27 "STANDING"
27 "WALKING"
27 "WALKING_DOWNSTAIRS"
27 "WALKING_UPSTAIRS"
28 "LAYING"
28 "SITTING"
28 "STANDING"
28 "WALKING"
28 "WALKING_DOWNSTAIRS"
28 "WALKING_UPSTAIRS"
29 "LAYING"
29 "SITTING"
29 "STANDING"
29 "WALKING"
29 "WALKING_DOWNSTAIRS"
29 "WALKING_UPSTAIRS"
30 "LAYING"
30 "SITTING"
30 "STANDING"
30 "WALKING"
30 "WALKING_DOWNSTAIRS"
30 "WALKING_UPSTAIRS"
