"Variable" "Description"
"Activity" "The motion activity"
"MeanOf.Frequency.Body..Acc.Jerk.Mag.Mean" "The mean of a Fourier transformed resultant XYZ signal (Euclidean norm) jerk from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body..Acc.Jerk.Mag.Std" "The standard deviation of a Fourier transformed resultant XYZ signal (Euclidean norm) jerk from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body..Gyro.Jerk.Mag.Mean" "The mean of a Fourier transformed resultant XYZ signal (Euclidean norm) jerk from a gyroscope signal related to body motion"
"MeanOf.Frequency.Body..Gyro.Jerk.Mag.Std" "The standard deviation of a Fourier transformed resultant XYZ signal (Euclidean norm) jerk from a gyroscope signal related to body motion"
"MeanOf.Frequency.Body..Gyro.Mag.Mean" "The mean of a Fourier transformed resultant XYZ signal (Euclidean norm) angular velocity from a gyroscope signal related to body motion"
"MeanOf.Frequency.Body..Gyro.Mag.Std" "The standard deviation of a Fourier transformed resultant XYZ signal (Euclidean norm) angular velocity from a gyroscope signal related to body motion"
"MeanOf.Frequency.Body.Acc.Jerk.Mean.X" "The mean of a Fourier transformed X signal jerk from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body.Acc.Jerk.Mean.Y" "The mean of a Fourier transformed Y signal jerk from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body.Acc.Jerk.Mean.Z" "The mean of a Fourier transformed Z signal jerk from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body.Acc.Jerk.Std.X" "The standard deviation of a Fourier transformed X signal jerk from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body.Acc.Jerk.Std.Y" "The standard deviation of a Fourier transformed Y signal jerk from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body.Acc.Jerk.Std.Z" "The standard deviation of a Fourier transformed Z signal jerk from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body.Acc.Mag.Mean" "The mean of a Fourier transformed resultant XYZ signal (Euclidean norm) acceleration from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body.Acc.Mag.Std" "The standard deviation of a Fourier transformed resultant XYZ signal (Euclidean norm) acceleration from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body.Acc.Mean.X" "The mean of a Fourier transformed X signal acceleration from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body.Acc.Mean.Y" "The mean of a Fourier transformed Y signal acceleration from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body.Acc.Mean.Z" "The mean of a Fourier transformed Z signal acceleration from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body.Acc.Std.X" "The standard deviation of a Fourier transformed X signal acceleration from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body.Acc.Std.Y" "The standard deviation of a Fourier transformed Y signal acceleration from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body.Acc.Std.Z" "The standard deviation of a Fourier transformed Z signal acceleration from an accelerometer signal related to body motion"
"MeanOf.Frequency.Body.Gyro.Mean.X" "The mean of a Fourier transformed X signal angular velocity from a gyroscope signal related to body motion"
"MeanOf.Frequency.Body.Gyro.Mean.Y" "The mean of a Fourier transformed Y signal angular velocity from a gyroscope signal related to body motion"
"MeanOf.Frequency.Body.Gyro.Mean.Z" "The mean of a Fourier transformed Z signal angular velocity from a gyroscope signal related to body motion"
"MeanOf.Frequency.Body.Gyro.Std.X" "The standard deviation of a Fourier transformed X signal angular velocity from a gyroscope signal related to body motion"
"MeanOf.Frequency.Body.Gyro.Std.Y" "The standard deviation of a Fourier transformed Y signal angular velocity from a gyroscope signal related to body motion"
"MeanOf.Frequency.Body.Gyro.Std.Z" "The standard deviation of a Fourier transformed Z signal angular velocity from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Acc.Jerk.Mag.Mean" "The mean of the resultant XYZ jerk from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Acc.Jerk.Mag.Std" "The standard deviation of the resultant XYZ jerk from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Acc.Jerk.Mean.X" "The mean of the X jerk from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Acc.Jerk.Mean.Y" "The mean of the Y jerk from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Acc.Jerk.Mean.Z" "The mean of the Z jerk from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Acc.Jerk.Std.X" "The standard deviation of the X jerk from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Acc.Jerk.Std.Y" "The standard deviation of the Y jerk from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Acc.Jerk.Std.Z" "The standard deviation of the Z jerk from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Acc.Mag.Mean" "The mean of the resultant XYZ acceleration from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Acc.Mag.Std" "The standard deviation of the resultant XYZ acceleration from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Acc.Mean.X" "The mean of the X acceleration from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Acc.Mean.Y" "The mean of the Y acceleration from an accelerometer signal related to body motion"
